Question,Intent
혹시 감염되면 치명률은 얼마나 되나요,정보
저기 혹시 코로나 걸리면 치사율이 몇 퍼에요,정보
종료해 줘,종료
끝내줘,종료
끝낼래,종료
질문 끝낼게,종료
질문 그만할게,종료
그만할래,종료
질문 끝,종료
질문 끝낼게,종료
다음에 할게,종료
질문 끝났어,종료
질문 그만할래,종료
종료할게,종료
대화 그만할게,종료
대화 끝낼게,종료
대화 종료할게,종료
질문 종료할게,종료
대화 다음에 더 할게,종료
다음에 봐,종료
질문 그만,종료
이제 종료할게,종료
이제 끝낼게,종료
이제 그만할게,종료
종료하자,종료
그만하자,종료
끝내자,종료
고생했어,종료
수고했어,종료
다음에도 잘 부탁해,종료
종료를 부탁해,종료
대답 고마워,종료
대답해줘서 고마워,종료
종료해줘,종료
끝내줘,종료
종료를 해줄래,종료
종료 부탁해,종료
끝내주라,종료
실행을 멈춰줘,종료
실행을 끝내주라,종료
실행이 끝났으면 좋겠어,종료
종료가 되었으면 좋겠어,종료
종료해,종료
종료좀,종료
종료,종료
꺼주길 바래,종료
꺼줬으면 좋겠어,종료
종료를 해줘,종료
종료를 해주라,종료
실행을 끝내줘,종료
실행을 멈춰,종료
종료 버튼을 눌러주,종료
종료 버튼을 눌러주라,종료
종료 버튼을 눌러줘,종료
할 말을 마쳤어,종료
할 말이 끝났어,종료
할 말을 멈췄으,종료
할 말이 없어,종료
그만 말하고 싶어,종료
이제 로봇이 가는 걸 봤으면 좋겠어,종료
그만 말할래,종료
말 하는 것을 멈출래,종료
말 하는 것을 종료할래,종료
말 하는 것을 종료해,종료
말을 멈춰,종료
말 그만해,종료
말 하지마,종료
말 안해라,종료
말 안했으면 좋겠어,종료
말 하지 않았으면 좋겠어,종료
말 하지마라,종료
종료 고고,종료
종료가 될까,종료
종료 해주길 부탁해,종료
종료 해주길 원해,종료
끝내줘,종료
디 엔드,종료
끝을 보자,종료
할 말 마쳤어,종료
할 말 끝났어,종료
더 이상 말 안할래,종료
더 이상 말 그만할래,종료
더 말하고 싶지 않아,종료
더 말하면 힘들 것 같아,종료
더 말 하기 어려울 것 같아,종료
더 말 할 수 없을 것 같아,종료
더 말 하긴 힘들어,종료
이제 그만 종료해줘,종료
이제 그만 꺼줘,종료
종료 해줬으면 좋겠어,종료
이제 종료 해줘,종료
이제 종료 하자,종료
이제 끝내자,종료
이제부터 종료하자,종료
종료가 되었으면 어떨까 싶어,종료
종료를 이제 하면 좋겠어,종료
그만 듣고 싶어,종료
말 하는 것이 멈춰졌으면 좋겠어,종료
더 이상 종료하지 않을래,종료
끝내주자,종료
종료가 되길 바라며 말을 마칠게,종료
종료좀,종료
종료가 좋을 것 같아,종료
끝이 좋을 것 같아,종료
할말 끝났어,종료
할 말을 마쳤어,종료
할 말이 더 이상 없네,종료
궁금한 것은 마쳤어,종료
궁금한 것은 다 말했어,종료
궁금한 것이 없으니 종료해줘,종료
종료 하자,종료
종료 하긴 해야할 듯,종료
종료 하긴 해야 할 껄,종료
종료 하는게 맞아,종료
지금은 종료하는 게 맞아,종료
종료하는 타이밍이야,종료
